frame,time,stage1_vel,stage1_alt,stage2_vel,stage2_alt
808,0:00:26.933333,37.55136,503.8344,37.55136,503.8344
812,0:00:27.066667,37.9984,503.8344,37.9984,503.8344
816,0:00:27.200000,42.91584,513.2832000000001,42.91584,513.2832000000001
820,0:00:27.333333,42.91584,513.2832000000001,42.91584,513.2832000000001
824,0:00:27.466667,43.36288,522.732,43.36288,522.732
828,0:00:27.600000,39.33952,532.1808,39.33952,532.1808
832,0:00:27.733333,39.33952,532.1808,39.33952,532.1808
836,0:00:27.866667,37.10432,541.6296,37.10432,541.6296
840,0:00:28,44.704,549.5544,44.704,549.5544
844,0:00:28.133333,44.704,549.5544,44.704,549.5544
848,0:00:28.266667,47.83328,562.9656,47.83328,562.9656
852,0:00:28.400000,45.598079999999996,571.1952,45.598079999999996,571.1952
856,0:00:28.533333,45.598079999999996,571.1952,45.598079999999996,571.1952
860,0:00:28.666667,46.04512,581.2536,46.04512,581.2536
864,0:00:28.800000,46.49216,591.312,46.49216,591.312
868,0:00:28.933333,46.49216,591.312,46.49216,591.312
872,0:00:29.066667,46.9392,601.6752,46.9392,601.6752
876,0:00:29.200000,47.38624,601.6752,47.38624,601.6752
880,0:00:29.333333,47.38624,601.6752,47.38624,601.6752
884,0:00:29.466667,47.83328,612.0384,47.83328,612.0384
888,0:00:29.600000,47.83328,612.0384,47.83328,612.0384
892,0:00:29.733333,48.280319999999996,622.4016,48.280319999999996,622.4016
896,0:00:29.866667,49.1744,633.0696,49.1744,633.0696
900,0:00:30,49.1744,633.0696,49.1744,633.0696
904,0:00:30.133333,52.30368,643.7376,52.30368,643.7376
908,0:00:30.266667,50.06848,654.4056,50.06848,654.4056
912,0:00:30.400000,50.06848,654.4056,50.06848,654.4056
916,0:00:30.533333,50.51552,665.3784,50.51552,665.3784
920,0:00:30.666667,50.962559999999996,676.6560000000001,50.962559999999996,676.6560000000001
924,0:00:30.800000,50.962559999999996,676.6560000000001,50.962559999999996,676.6560000000001
928,0:00:30.933333,51.4096,687.6288000000001,51.4096,687.6288000000001
932,0:00:31.066667,51.85664,698.9064000000001,51.85664,698.9064000000001
936,0:00:31.200000,51.85664,698.9064000000001,51.85664,698.9064000000001
940,0:00:31.333333,52.30368,710.1840000000001,52.30368,710.1840000000001
944,0:00:31.466667,52.30368,710.1840000000001,52.30368,710.1840000000001
948,0:00:31.600000,53.19776,710.1840000000001,53.19776,710.1840000000001
952,0:00:31.733333,53.6448,721.7664000000001,53.6448,721.7664000000001
956,0:00:31.866667,56.77408,733.3488,56.77408,733.3488
960,0:00:32,56.77408,733.3488,56.77408,733.3488
964,0:00:32.133333,54.53888,745.236,54.53888,745.236
968,0:00:32.266667,54.53888,745.236,54.53888,745.236
972,0:00:32.400000,54.98592,757.1232,54.98592,757.1232
976,0:00:32.533333,54.98592,757.1232,54.98592,757.1232
980,0:00:32.666667,55.43296,769.0104,55.43296,769.0104
984,0:00:32.800000,56.32704,780.8976,56.32704,780.8976
988,0:00:32.933333,56.32704,780.8976,56.32704,780.8976
992,0:00:33.066667,56.77408,793.0896,56.77408,793.0896
996,0:00:33.200000,57.22112,805.5864,57.22112,805.5864
1000,0:00:33.333333,57.22112,805.5864,57.22112,805.5864
1004,0:00:33.466667,57.66816,818.0832,57.66816,818.0832
1008,0:00:33.600000,58.1152,830.58,58.1152,830.58
1012,0:00:33.733333,58.1152,830.58,58.1152,830.58
1016,0:00:33.866667,58.1152,830.58,58.1152,830.58
1020,0:00:34,59.45632,843.0768,59.45632,843.0768
1024,0:00:34.133333,59.45632,843.0768,59.45632,843.0768
1028,0:00:34.266667,59.90336,855.8784,59.90336,855.8784
1032,0:00:34.400000,60.3504,868.6800000000001,60.3504,868.6800000000001
1036,0:00:34.533333,60.3504,868.6800000000001,60.3504,868.6800000000001
1040,0:00:34.666667,61.244479999999996,881.7864000000001,61.244479999999996,881.7864000000001
1044,0:00:34.800000,61.69152,712.0128000000001,61.69152,712.0128000000001
1048,0:00:34.933333,61.69152,894.8928000000001,61.69152,894.8928000000001
1052,0:00:35.066667,62.13856,725.4240000000001,62.13856,725.4240000000001
1056,0:00:35.200000,65.71488,921.7152000000001,65.71488,921.7152000000001
1060,0:00:35.333333,63.47968,935.1264000000001,63.47968,935.1264000000001
1064,0:00:35.466667,63.47968,935.1264000000001,63.47968,935.1264000000001
1068,0:00:35.600000,63.926719999999996,948.8424,63.926719999999996,948.8424
1072,0:00:35.733333,64.37376,962.5584,64.37376,962.5584
1076,0:00:35.866667,64.37376,962.5584,64.37376,962.5584
1080,0:00:36,65.26783999999999,962.5584,65.26783999999999,962.5584
1084,0:00:36.133333,65.71488,976.2744,65.71488,976.2744
1088,0:00:36.266667,66.16192,990.2952,66.16192,990.2952
1092,0:00:36.400000,66.16192,990.2952,66.16192,990.2952
1096,0:00:36.533333,67.056,1001.5728,67.056,1001.5728
1100,0:00:36.666667,70.18528,1018.9464,70.18528,1018.9464
1104,0:00:36.800000,67.50304,1018.9464,67.50304,1018.9464
1108,0:00:36.933333,67.95008,1033.2720000000002,67.95008,1033.2720000000002
1112,0:00:37.066667,67.95008,1033.2720000000002,67.95008,1033.2720000000002
1116,0:00:37.200000,68.84416,1047.5976,68.84416,1047.5976
1120,0:00:37.333333,69.2912,1062.228,69.2912,1062.228
1124,0:00:37.466667,70.18528,1077.1632,70.18528,1077.1632
1128,0:00:37.600000,70.18528,1077.1632,70.18528,1077.1632
1132,0:00:37.733333,70.63231999999999,1092.0984,70.63231999999999,1092.0984
1136,0:00:37.866667,71.07936,1107.0336,71.07936,1107.0336
1140,0:00:38,71.07936,1107.0336,71.07936,1107.0336
1144,0:00:38.133333,74.65568,1107.0336,74.65568,1107.0336
1148,0:00:38.266667,74.65568,1107.0336,74.65568,1107.0336
1152,0:00:38.400000,72.42048,1122.2736,72.42048,1122.2736
1156,0:00:38.533333,72.86752,1137.5136,72.86752,1137.5136
1160,0:00:38.666667,72.86752,1137.5136,72.86752,1137.5136
1164,0:00:38.800000,73.7616,1152.7536,73.7616,1152.7536
1168,0:00:38.933333,74.20864,1168.2984000000001,74.20864,1168.2984000000001
1172,0:00:39.066667,74.20864,1168.2984000000001,74.20864,1168.2984000000001
1176,0:00:39.200000,75.10272,1184.1480000000001,75.10272,1184.1480000000001
1180,0:00:39.333333,75.10272,1184.1480000000001,75.10272,1184.1480000000001
1184,0:00:39.466667,72.86752,1199.9976000000001,72.86752,1199.9976000000001
1188,0:00:39.600000,72.86752,1199.9976000000001,72.86752,1199.9976000000001
1192,0:00:39.733333,72.86752,1199.9976000000001,72.86752,1199.9976000000001
1196,0:00:39.866667,77.33792,1245.1080000000002,77.33792,1245.1080000000002
1200,0:00:40,77.33792,1245.1080000000002,77.33792,1245.1080000000002
1204,0:00:40.133333,78.232,1262.7864,78.232,1262.7864
1208,0:00:40.266667,78.67904,1264.6152,78.67904,1264.6152
1212,0:00:40.400000,78.67904,1264.6152,78.67904,1264.6152
1216,0:00:40.533333,79.57312,1281.0744,79.57312,1281.0744
1220,0:00:40.666667,79.57312,1281.0744,79.57312,1281.0744
1224,0:00:40.800000,77.33792,1297.8384,77.33792,1297.8384
1228,0:00:40.933333,83.59648,1314.6024,83.59648,1314.6024
1232,0:00:41.066667,81.36128,1331.3664,81.36128,1331.3664
1236,0:00:41.200000,81.36128,1331.3664,81.36128,1331.3664
1240,0:00:41.333333,82.25536,1348.4352000000001,82.25536,1348.4352000000001
1244,0:00:41.466667,82.7024,1365.8088,,0.0
1248,0:00:41.600000,82.7024,1365.8088,447040.0,0.0
1252,0:00:41.733333,83.59648,1382.8776,447040.0,0.0
1256,0:00:41.866667,84.04352,1400.556,,0.0
1260,0:00:42,84.04352,1400.556,84.04352,1400.556
1264,0:00:42.133333,84.04352,1400.556,84.04352,1400.556
1268,0:00:42.266667,58.1152,1418.2344,58.1152,1418.2344
1272,0:00:42.400000,88.06688,1435.9128,88.06688,1435.9128
1276,0:00:42.533333,86.27871999999999,1435.9128,86.27871999999999,1435.9128
1280,0:00:42.666667,86.27871999999999,1435.9128,86.27871999999999,1435.9128
1284,0:00:42.800000,86.72576,1453.8960000000002,86.72576,1453.8960000000002
1288,0:00:42.933333,87.61984,1471.8792,87.61984,1471.8792
1292,0:00:43.066667,87.61984,1471.8792,87.61984,1471.8792
1296,0:00:43.200000,88.06688,1490.1672,88.06688,1490.1672
1300,0:00:43.333333,81.80832,1508.4552,81.80832,1508.4552
1304,0:00:43.466667,84.49056,1508.4552,84.49056,1508.4552
1308,0:00:43.600000,89.408,1545.336,89.408,1545.336
1312,0:00:43.733333,90.30208,1547.4696000000001,90.30208,1547.4696000000001
1316,0:00:43.866667,90.74912,1564.5384000000001,90.74912,1564.5384000000001
1320,0:00:44,90.74912,1564.5384000000001,90.74912,1564.5384000000001
1324,0:00:44.133333,91.6432,1583.4360000000001,91.6432,1583.4360000000001
1328,0:00:44.266667,92.09024,1602.6384,92.09024,1602.6384
1332,0:00:44.400000,92.09024,1602.6384,92.09024,1602.6384
1336,0:00:44.533333,92.98432,1623.6696000000002,92.98432,1623.6696000000002
1340,0:00:44.666667,93.8784,1623.6696000000002,93.8784,1623.6696000000002
1344,0:00:44.800000,93.8784,1621.8408000000002,,0.0
1348,0:00:44.933333,97.00768,1641.3480000000002,97.00768,1641.3480000000002
1352,0:00:45.066667,95.21952,1660.8552000000002,95.21952,1660.8552000000002
1356,0:00:45.200000,95.21952,1660.8552000000002,95.21952,1660.8552000000002
1360,0:00:45.333333,95.66656,1680.6672,95.66656,1680.6672
1364,0:00:45.466667,96.56063999999999,1700.4792,96.56063999999999,1700.4792
1368,0:00:45.600000,96.56063999999999,1700.4792,96.56063999999999,1700.4792
1372,0:00:45.733333,97.45472,1720.596,97.45472,1720.596
1376,0:00:45.866667,97.90176,1740.7128,97.90176,1740.7128
1380,0:00:46,97.90176,1740.7128,97.90176,1740.7128
1384,0:00:46.133333,98.79584,1761.1344000000001,98.79584,1761.1344000000001
1388,0:00:46.266667,99.24288,1781.556,99.24288,1781.556
1392,0:00:46.400000,99.24288,1781.556,99.24288,1781.556
1396,0:00:46.533333,100.13696,1802.2824,100.13696,1802.2824
1400,0:00:46.666667,101.03104,1641.9576000000002,101.03104,1641.9576000000002
1404,0:00:46.800000,101.03104,1640.1288000000002,101.03104,1640.1288000000002
1408,0:00:46.933333,101.47807999999999,1641.9576000000002,101.47807999999999,1641.9576000000002
1412,0:00:47.066667,101.47807999999999,1641.9576000000002,101.47807999999999,1641.9576000000002
1416,0:00:47.200000,101.47807999999999,1824.8376,101.47807999999999,1824.8376
1420,0:00:47.333333,102.37216,1844.0400000000002,102.37216,1844.0400000000002
1424,0:00:47.466667,105.94848,1865.3760000000002,105.94848,1865.3760000000002
1428,0:00:47.600000,103.71328,1868.4240000000002,103.71328,1868.4240000000002
1432,0:00:47.733333,104.60736,1908.048,104.60736,1908.048
1436,0:00:47.866667,104.60736,1908.048,104.60736,1908.048
1440,0:00:48,105.50144,1929.6888000000001,105.50144,1929.6888000000001
1444,0:00:48.133333,105.94848,1951.3296,105.94848,1951.3296
1448,0:00:48.266667,105.94848,1951.3296,105.94848,1951.3296
1452,0:00:48.400000,106.84255999999999,1973.2752,106.84255999999999,1973.2752
1456,0:00:48.533333,106.84255999999999,1973.2752,106.84255999999999,1973.2752
1460,0:00:48.666667,107.73664,1995.5256000000002,107.73664,1995.5256000000002
1464,0:00:48.800000,108.63072,2017.776,108.63072,2017.776
1468,0:00:48.933333,109.07776,2040.3312,109.07776,2040.3312
1472,0:00:49.066667,109.07776,2040.3312,109.07776,2040.3312
1476,0:00:49.200000,109.97184,2040.3312,109.97184,2040.3312
1480,0:00:49.333333,109.97184,2040.3312,109.97184,2040.3312
1484,0:00:49.466667,110.86592,2062.8864000000003,,0.0
1488,0:00:49.600000,111.31296,2085.7464,111.31296,2085.7464
1492,0:00:49.733333,111.31296,2085.7464,111.31296,2085.7464
1496,0:00:49.866667,112.20703999999999,2108.6064,112.20703999999999,2108.6064
1500,0:00:50,113.10112,2131.7712,113.10112,2131.7712
1504,0:00:50.133333,113.10112,2131.7712,113.10112,2131.7712
1508,0:00:50.266667,113.9952,2154.936,113.9952,2154.936
1512,0:00:50.400000,114.44224,2178.4056,114.44224,2178.4056
1516,0:00:50.533333,114.44224,2178.4056,114.44224,2178.4056
1520,0:00:50.666667,115.33632,2202.1800000000003,115.33632,2202.1800000000003
1524,0:00:50.800000,116.2304,2225.9544,116.2304,2225.9544
1528,0:00:50.933333,117.12447999999999,2250.0336,117.12447999999999,2250.0336
1532,0:00:51.066667,117.12447999999999,2250.0336,117.12447999999999,2250.0336
1536,0:00:51.200000,118.01856,2275.9416,118.01856,2275.9416
1540,0:00:51.333333,118.4656,2275.9416,118.4656,2275.9416
1544,0:00:51.466667,118.4656,2282.0376,118.4656,2282.0376
1548,0:00:51.600000,119.35968,2300.3256,119.35968,2300.3256
